payroll_id,employee_id,pay_period_start,pay_period_end,gross_pay,net_pay,tax_withheld,payment_date,payment_status,domain
PAY-HEA-0018,HEA-0018,2024-07-12,2023-04-20,3531.54,2648.66,882.89,2023-03-11,Processed,healthcare
PAY-HEA-0019,HEA-0019,2024-10-25,2023-08-05,6567.25,4925.44,1641.81,2024-08-02,Pending,healthcare
PAY-HEA-0020,HEA-0020,2024-02-03,2025-09-06,6831.5,5123.62,1707.88,2023-05-07,Pending,healthcare
PAY-HEA-0021,HEA-0021,2023-02-16,2023-11-04,7659.17,5744.38,1914.79,2023-04-14,Pending,healthcare
PAY-HEA-0022,HEA-0022,2024-03-16,2024-08-05,6916.54,5187.41,1729.14,2024-12-09,Processed,healthcare
PAY-HEA-0023,HEA-0023,2024-03-24,2023-01-13,8086.54,6064.91,2021.64,2024-08-23,Pending,healthcare
PAY-HEA-0024,HEA-0024,2025-08-10,2025-07-20,3087.08,2315.31,771.77,2023-06-07,Processed,healthcare
PAY-HEA-0025,HEA-0025,2025-08-04,2025-03-20,2409.42,1807.06,602.35,2024-02-28,Pending,healthcare
PAY-HEA-0026,HEA-0026,2023-07-07,2024-12-20,6899.96,5174.97,1724.99,2023-03-27,Pending,healthcare
PAY-HEA-0027,HEA-0027,2023-12-01,2024-06-08,7772.04,5829.03,1943.01,2025-09-02,Pending,healthcare
PAY-HEA-0028,HEA-0028,2025-06-29,2023-08-15,7715.75,5786.81,1928.94,2024-01-29,Processed,healthcare
PAY-HEA-0029,HEA-0029,2024-06-02,2024-05-27,4199.71,3149.78,1049.93,2024-11-17,Failed,healthcare
PAY-HEA-0030,HEA-0030,2024-03-09,2025-05-04,6561.75,4921.31,1640.44,2023-01-10,Processed,healthcare
PAY-HEA-0031,HEA-0031,2023-01-13,2023-12-21,5275.79,3956.84,1318.95,2024-05-30,Failed,healthcare
PAY-HEA-0032,HEA-0032,2025-12-23,2023-06-20,7655.58,5741.69,1913.9,2024-06-12,Processed,healthcare
PAY-HEA-0033,HEA-0033,2025-03-07,2024-04-11,2849.33,2137.0,712.33,2023-09-03,Pending,healthcare
PAY-HEA-0034,HEA-0034,2025-01-12,2024-06-16,6149.58,4612.19,1537.4,2025-09-10,Processed,healthcare
PAY-HEA-0035,HEA-0035,2025-04-19,2023-10-09,2617.12,1962.84,654.28,2025-01-28,Processed,healthcare
PAY-HEA-0036,HEA-0036,2023-04-12,2025-03-10,2110.5,1582.88,527.62,2025-05-11,Processed,healthcare
PAY-HEA-0037,HEA-0037,2025-08-26,2024-07-27,5425.5,4069.12,1356.38,2023-11-02,Processed,healthcare
PAY-HEA-0038,HEA-0038,2023-04-26,2024-10-06,6876.46,5157.34,1719.11,2025-03-29,Failed,healthcare
PAY-HEA-0039,HEA-0039,2025-05-29,2024-06-04,4432.58,3324.44,1108.15,2024-08-02,Pending,healthcare
PAY-HEA-0040,HEA-0040,2024-12-14,2025-12-12,4286.46,3214.84,1071.61,2025-02-18,Processed,healthcare
PAY-HEA-0041,HEA-0041,2025-04-11,2023-09-29,7140.58,5355.44,1785.15,2023-12-20,Pending,healthcare
PAY-HEA-0042,HEA-0042,2025-05-07,2023-11-30,8125.0,6093.75,2031.25,2023-01-25,Failed,healthcare
PAY-HEA-0043,HEA-0043,2023-09-21,2023-04-03,6432.67,4824.5,1608.17,2025-09-25,Failed,healthcare
PAY-HEA-0044,HEA-0044,2023-09-10,2023-04-08,7088.5,5316.38,1772.12,2025-08-06,Processed,healthcare
PAY-HEA-0045,HEA-0045,2024-02-11,2025-11-28,3066.5,2299.88,766.62,2023-08-07,Processed,healthcare
PAY-HEA-0046,HEA-0046,2023-08-09,2023-12-13,7705.62,5779.22,1926.41,2024-10-21,Failed,healthcare
PAY-HEA-0047,HEA-0047,2024-03-09,2024-10-13,4454.42,3340.81,1113.6,2024-02-07,Pending,healthcare
PAY-HEA-0048,HEA-0048,2025-02-25,2024-05-07,6772.75,5079.56,1693.19,2025-08-05,Processed,healthcare
PAY-HEA-0049,HEA-0049,2025-11-04,2024-05-30,2976.54,2232.41,744.14,2025-08-18,Failed,healthcare
PAY-HEA-0050,HEA-0050,2024-05-08,2025-03-20,6850.04,5137.53,1712.51,2025-06-21,Pending,healthcare
